Fila: 0 | Columna: 5
Fila: 1 | Columna: 0
Fila: 2 | Columna: 0
Fila: 2 | Columna: 1
Fila: 2 | Columna: 2
Fila: 3 | Columna: 0
Fila: 3 | Columna: 1
Fila: 3 | Columna: 2
Fila: 3 | Columna: 3
Fila: 3 | Columna: 4
Fila: 4 | Columna: 0
Fila: 4 | Columna: 1
Fila: 4 | Columna: 2
Fila: 4 | Columna: 3
Fila: 4 | Columna: 4
Fila: 4 | Columna: 5
Fila: 3 | Columna: 5
Fila: 2 | Columna: 3
Fila: 2 | Columna: 4
Fila: 3 | Columna: 0
Fila: 3 | Columna: 1
Fila: 4 | Columna: 0
Fila: 4 | Columna: 1
Fila: 4 | Columna: 2
Fila: 4 | Columna: 3
Fila: 4 | Columna: 4
Fila: 4 | Columna: 5
Fila: 3 | Columna: 2
Fila: 3 | Columna: 3
Fila: 3 | Columna: 4
Fila: 3 | Columna: 5
Fila: 2 | Columna: 5
Fila: 1 | Columna: 1
Fila: 2 | Columna: 0
Fila: 2 | Columna: 1
Fila: 2 | Columna: 2
Fila: 2 | Columna: 3
Fila: 2 | Columna: 4
Fila: 3 | Columna: 0
Fila: 4 | Columna: 0
Fila: 4 | Columna: 1
Fila: 4 | Columna: 2
Fila: 4 | Columna: 3
Fila: 5 | Columna: 0
Fila: 5 | Columna: 1
Fila: 5 | Columna: 2
Fila: 5 | Columna: 3
Fila: 5 | Columna: 4
Fila: 5 | Columna: 5
Fila: 4 | Columna: 4
Fila: 4 | Columna: 5
Fila: 3 | Columna: 1
Fila: 3 | Columna: 2
Fila: 3 | Columna: 3
Fila: 3 | Columna: 4
Fila: 3 | Columna: 5
Fila: 2 | Columna: 5
Fila: 1 | Columna: 2
Fila: 2 | Columna: 0
Fila: 3 | Columna: 0
Fila: 3 | Columna: 1
Fila: 3 | Columna: 2
Fila: 3 | Columna: 3
Fila: 4 | Columna: 0
Fila: 4 | Columna: 1
Fila: 4 | Columna: 2
Fila: 4 | Columna: 3
Fila: 4 | Columna: 4
Fila: 4 | Columna: 5
Fila: 3 | Columna: 4
Fila: 3 | Columna: 5
Fila: 2 | Columna: 1
Fila: 2 | Columna: 2
Fila: 2 | Columna: 3
Fila: 2 | Columna: 4
Fila: 3 | Columna: 0
Fila: 3 | Columna: 1
Fila: 4 | Columna: 0
Fila: 4 | Columna: 1
Fila: 4 | Columna: 2
Fila: 4 | Columna: 3
Fila: 5 | Columna: 0
Fila: 5 | Columna: 1
Fila: 5 | Columna: 2
Fila: 5 | Columna: 3
Fila: 5 | Columna: 4
Fila: 5 | Columna: 5
Fila: 4 | Columna: 4
Fila: 4 | Columna: 5
Fila: 3 | Columna: 2
Fila: 3 | Columna: 3
Fila: 3 | Columna: 4
Fila: 3 | Columna: 5
Fila: 2 | Columna: 5
Fila: 1 | Columna: 3
Fila: 2 | Columna: 0
Fila: 3 | Columna: 0
Fila: 3 | Columna: 1
Fila: 3 | Columna: 2
Fila: 3 | Columna: 3
Fila: 3 | Columna: 4
Fila: 4 | Columna: 0
Fila: 4 | Columna: 1
Fila: 4 | Columna: 2
Fila: 4 | Columna: 3
Fila: 4 | Columna: 4
Fila: 4 | Columna: 5
Fila: 3 | Columna: 5
Fila: 2 | Columna: 1
Fila: 3 | Columna: 0
Fila: 3 | Columna: 1
Fila: 3 | Columna: 2
Fila: 3 | Columna: 3
Fila: 3 | Columna: 4
Fila: 4 | Columna: 0
Fila: 4 | Columna: 1
Fila: 4 | Columna: 2
Fila: 5 | Columna: 0
Fila: 5 | Columna: 1
Fila: 5 | Columna: 2
Fila: 5 | Columna: 3
Fila: 5 | Columna: 4
Fila: 5 | Columna: 5
Fila: 4 | Columna: 3
Fila: 4 | Columna: 4
Fila: 4 | Columna: 5
Fila: 3 | Columna: 5
Fila: 2 | Columna: 2
Fila: 2 | Columna: 3
Fila: 2 | Columna: 4
Fila: 2 | Columna: 5
Fila: 1 | Columna: 4
Fila: 1 | Columna: 5
